Ref,Val,Package,PosX,PosY,Rot,Side
"J1","SMA_Conn","Samtec_SMA-J-P-X-ST-EM1_EdgeMount",38.000000,-38.500000,270.000000,top
"J2","SMA_Conn","Samtec_SMA-J-P-X-ST-EM1_EdgeMount",61.475000,-38.500000,90.000000,top
"J3","SMA_Conn","Samtec_SMA-J-P-X-ST-EM1_EdgeMount",38.000000,-58.750000,270.000000,top
"J4","SMA_Conn","Samtec_SMA-J-P-X-ST-EM1_EdgeMount",61.550000,-58.750000,90.000000,top
"J5","SMA_Conn","Samtec_SMA-J-P-X-ST-EM1_EdgeMount",38.000000,-79.000000,270.000000,top
"J6","SMA_Conn","Samtec_SMA-J-P-X-ST-EM1_EdgeMount",61.500000,-79.000000,90.000000,top
"J7","SMA_Conn","Samtec_SMA-J-P-X-ST-EM1_EdgeMount",38.000000,-95.500000,270.000000,top
"J8","SMA_Conn","Samtec_SMA-J-P-X-ST-EM1_EdgeMount",61.500000,-95.500000,90.000000,top
"J9","SMA_Conn","Samtec_SMA-J-P-X-ST-EM1_EdgeMount",38.000000,-112.000000,270.000000,top
"J10","SMA_Conn","Samtec_SMA-J-P-X-ST-EM1_EdgeMount",61.500000,-112.000000,90.000000,top
"R1","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",44.500000,-35.700000,90.000000,top
"R2","91R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",57.000000,-35.750000,90.000000,top
"R3","150R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",50.500000,-40.000000,180.000000,top
"R4","150R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",50.500000,-37.000000,180.000000,top
"R5","91R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",44.500000,-41.250000,90.000000,top
"R6","0","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",57.000000,-41.250000,90.000000,top
"R13","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",43.500000,-76.250000,90.000000,top
"R14","510R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",49.500000,-77.250000,0.000000,top
"R15","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",55.500000,-76.250000,90.000000,top
"R16","510R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",49.500000,-80.250000,0.000000,top
"R17","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",43.500000,-81.750000,90.000000,top
"R18","120R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",55.500000,-81.750000,90.000000,top
"R19","82.5R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",44.000000,-94.000000,180.000000,top
"R20","82.5R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",55.000000,-94.000000,180.000000,top
"R21","82.5R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",44.000000,-97.000000,180.000000,top
"R22","7.5R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",49.500000,-97.250000,90.000000,top
"R23","82.5R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",55.000000,-97.000000,180.000000,top
"R24","100R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",44.500000,-109.250000,90.000000,top
"R25","100R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",54.500000,-109.250000,90.000000,top
"R26","2K7","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",49.500000,-112.000000,180.000000,top
"R27","100R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",44.500000,-114.750000,90.000000,top
"R28","100R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",54.500000,-114.750000,90.000000,top
