Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0603_1608Metric,123.775000,-79.000000,0.000000,top
C2,10n,C_0603_1608Metric,127.775000,-81.500000,180.000000,top
D1,red,LED_0805_2012Metric,111.750000,-49.062500,90.000000,top
D2,red,LED_0805_2012Metric,115.250000,-49.000000,90.000000,top
D3,red,LED_0805_2012Metric,118.750000,-49.000000,90.000000,top
D4,red,LED_0805_2012Metric,122.250000,-49.000000,90.000000,top
D5,red,LED_0805_2012Metric,125.750000,-49.000000,90.000000,top
D6,red,LED_0805_2012Metric,129.250000,-49.000000,90.000000,top
D7,red,LED_0805_2012Metric,132.750000,-49.000000,90.000000,top
D8,red,LED_0805_2012Metric,136.250000,-49.000000,90.000000,top
D9,red,LED_0805_2012Metric,139.750000,-49.000000,90.000000,top
D10,red,LED_0805_2012Metric,143.250000,-49.000000,90.000000,top
D11,red,LED_0805_2012Metric,111.750000,-53.500000,90.000000,top
D12,red,LED_0805_2012Metric,115.250000,-53.500000,90.000000,top
D13,red,LED_0805_2012Metric,118.750000,-53.500000,90.000000,top
D14,red,LED_0805_2012Metric,122.250000,-53.500000,90.000000,top
D15,red,LED_0805_2012Metric,125.750000,-53.500000,90.000000,top
D16,red,LED_0805_2012Metric,129.250000,-53.500000,90.000000,top
D17,red,LED_0805_2012Metric,132.750000,-53.500000,90.000000,top
D18,red,LED_0805_2012Metric,136.250000,-53.562500,90.000000,top
D19,red,LED_0805_2012Metric,139.750000,-53.500000,90.000000,top
D20,red,LED_0805_2012Metric,143.250000,-53.562500,90.000000,top
D21,1N4148F,D_SOD-123,148.000000,-58.500000,90.000000,top
D22,red,LED_0805_2012Metric,111.750000,-58.062500,90.000000,top
D23,red,LED_0805_2012Metric,115.250000,-58.062500,90.000000,top
D24,red,LED_0805_2012Metric,118.750000,-58.062500,90.000000,top
D25,red,LED_0805_2012Metric,122.250000,-58.062500,90.000000,top
D26,red,LED_0805_2012Metric,125.750000,-58.000000,90.000000,top
D27,red,LED_0805_2012Metric,129.250000,-58.000000,90.000000,top
D28,red,LED_0805_2012Metric,132.750000,-58.000000,90.000000,top
D29,red,LED_0805_2012Metric,136.250000,-58.000000,90.000000,top
D30,red,LED_0805_2012Metric,139.750000,-58.000000,90.000000,top
D31,red,LED_0805_2012Metric,143.250000,-58.062500,90.000000,top
D32,red,LED_0805_2012Metric,111.687500,-62.562500,90.000000,top
D33,red,LED_0805_2012Metric,115.250000,-62.500000,90.000000,top
D34,red,LED_0805_2012Metric,118.750000,-62.562500,90.000000,top
D35,red,LED_0805_2012Metric,122.250000,-62.562500,90.000000,top
D36,red,LED_0805_2012Metric,125.750000,-62.500000,90.000000,top
D37,red,LED_0805_2012Metric,129.250000,-62.562500,90.000000,top
D38,red,LED_0805_2012Metric,132.750000,-62.562500,90.000000,top
D39,red,LED_0805_2012Metric,136.250000,-62.500000,90.000000,top
D40,red,LED_0805_2012Metric,139.750000,-62.562500,90.000000,top
D41,red,LED_0805_2012Metric,143.250000,-62.500000,90.000000,top
D42,red,LED_0805_2012Metric,111.750000,-67.062500,90.000000,top
D43,red,LED_0805_2012Metric,115.250000,-67.062500,90.000000,top
D44,red,LED_0805_2012Metric,118.750000,-67.062500,90.000000,top
D45,red,LED_0805_2012Metric,122.250000,-66.937500,90.000000,top
D46,red,LED_0805_2012Metric,125.750000,-67.000000,90.000000,top
D47,red,LED_0805_2012Metric,129.250000,-66.937500,90.000000,top
D48,red,LED_0805_2012Metric,132.750000,-67.062500,90.000000,top
D49,red,LED_0805_2012Metric,136.250000,-67.062500,90.000000,top
D50,red,LED_0805_2012Metric,139.750000,-67.062500,90.000000,top
D51,red,LED_0805_2012Metric,143.250000,-67.062500,90.000000,top
D52,red,LED_0805_2012Metric,111.750000,-71.562500,90.000000,top
D53,red,LED_0805_2012Metric,115.250000,-71.562500,90.000000,top
D54,red,LED_0805_2012Metric,118.750000,-71.500000,90.000000,top
D55,red,LED_0805_2012Metric,122.250000,-71.500000,90.000000,top
D56,red,LED_0805_2012Metric,125.750000,-71.500000,90.000000,top
D57,red,LED_0805_2012Metric,129.250000,-71.562500,90.000000,top
D58,red,LED_0805_2012Metric,132.750000,-71.500000,90.000000,top
D59,red,LED_0805_2012Metric,136.250000,-71.500000,90.000000,top
D60,red,LED_0805_2012Metric,139.750000,-71.562500,90.000000,top
D61,red,LED_0805_2012Metric,143.250000,-71.437500,90.000000,top
D62,D_Schottky,D_0805_2012Metric,120.700000,-80.037500,270.000000,top
D63,D_Schottky,D_0805_2012Metric,118.500000,-80.037500,90.000000,top
R1,100R,R_1206_3216Metric,110.000000,-43.500000,270.000000,top
R2,100R,R_1206_3216Metric,114.000000,-43.500000,270.000000,top
R3,100R,R_1206_3216Metric,117.900000,-43.500000,270.000000,top
R4,100R,R_1206_3216Metric,121.500000,-43.500000,270.000000,top
R5,100R,R_1206_3216Metric,125.500000,-43.500000,270.000000,top
R6,100R,R_1206_3216Metric,129.500000,-43.500000,270.000000,top
R7,100R,R_1206_3216Metric,133.000000,-43.500000,270.000000,top
R8,100R,R_1206_3216Metric,137.000000,-43.500000,270.000000,top
R9,100R,R_1206_3216Metric,141.000000,-43.500000,270.000000,top
R10,100R,R_1206_3216Metric,145.000000,-43.500000,270.000000,top
R11,10k,R_0805_2012Metric,115.000000,-89.087500,270.000000,top
R12,1k,R_0805_2012Metric,133.500000,-91.587500,90.000000,top
